0.3475 -0.8713 0.0129 1.0657 1.9547 -1.9019 -0.2421 -1.3635
2.1994 -4.2467 -0.2883 4.9976 10.0757 -9.4334 -0.8470 -6.7455
-0.4165 -2.0420 0.0908 2.4615 3.9059 -4.1434 -1.2005 -3.5448
0.8389 -1.7830 -0.2958 2.5264 4.2178 -3.8906 -0.6438 -2.8867
2.3078 -1.3138 -0.6001 2.8367 5.1205 -4.7511 -0.8100 -3.3234
-0.9036 -0.2485 0.3194 -0.4416 -0.6409 0.4880 0.2353 0.3306
-0.3869 1.8226 -0.7644 1.6597 -1.2032 0.1109 -3.4443 -1.5255
1.4142 -0.5972 -0.8329 2.2674 2.9820 -2.5361 -0.9383 -2.0095
1.0894 -0.3147 -0.3230 1.8375 2.2737 -2.4624 -1.0778 -1.8795
-0.3152 -4.2622 0.5659 2.9015 6.9422 -6.7616 0.2112 -4.6593
