0.1529 -0.1463 -0.0432 1.9052 1.2812 -2.1375 -1.6944 -1.8233
0.7032 0.3274 -0.5585 0.5923 0.4509 -0.1638 -0.4507 -0.3158
1.1860 0.9344 -0.5753 0.9993 0.3453 -0.5034 -1.1891 -0.6407
-1.8071 -0.0753 0.5731 -0.3671 -1.5763 0.7969 -0.3556 0.3693
0.1525 0.5002 -0.1156 0.6400 -0.1935 -0.2482 -0.9082 -0.3620
1.8450 0.5530 -0.7993 2.4949 2.1929 -2.5976 -2.1400 -2.2921
-1.5488 -0.2649 0.4749 -0.7004 -1.0161 0.8370 0.2553 0.3313
-0.9442 -0.0760 -0.6416 1.1609 -0.2893 0.2811 -1.0295 -0.3214
0.8007 0.0485 -1.6685 2.2857 1.4465 -0.5730 -1.2494 -0.9805
-0.4868 2.4832 -0.8049 0.3983 -2.8765 1.9485 -2.8357 -0.0737
-0.6541 0.3170 0.0485 -0.1693 -0.9361 0.6273 -0.4230 0.1682
2.0678 1.3277 -1.0351 1.0382 0.6870 -0.4056 -1.2450 -0.7144
-0.4153 -0.4541 0.0867 1.1458 0.9197 -1.5473 -1.0285 -1.3701
-0.7953 -0.6691 0.1913 0.6521 0.6718 -1.1398 -0.5907 -1.0627
1.8411 1.3554 -0.9524 1.1326 0.7313 -0.4642 -1.3642 -0.9429
-0.2781 0.2171 0.0531 0.2210 -0.3895 0.0335 -0.4842 -0.0973
-1.4170 0.5445 0.2007 -0.2201 -1.8334 1.0790 -0.8963 0.2718
1.7602 1.8231 -1.0563 1.3566 -0.0107 -0.1731 -2.0842 -0.8378
0.6149 -0.2273 -0.2616 1.5933 1.6990 -2.0784 -1.1842 -1.7095
-1.8178 -0.1143 0.5762 -0.4231 -1.5542 0.8083 -0.2776 0.3958
1.1365 0.6696 -0.4979 0.7853 0.5181 -0.5176 -0.7918 -0.5277
1.2748 0.6753 -0.7244 2.1817 1.4751 -1.9995 -2.2379 -2.0492
